dataset_name,model,accuracy_syn_test,accuracy_train_test,fidelity
pc4,Transformed,0.821917808219178,0.8835616438356164,0.8424657534246576
pc4,TensorConFormerEnc,0.821917808219178,0.8835616438356164,0.8013698630136986
pc4,TensorConFormerDec,0.863013698630137,0.8835616438356164,0.910958904109589
cmc,VAE,0.3581081081081081,0.5135135135135135,0.3918918918918919
cmc,TensorContracted,0.4391891891891892,0.5135135135135135,0.49324324324324326
cmc,TensorConFormer,0.4797297297297297,0.5135135135135135,0.44594594594594594
cmc,Transformed,0.4594594594594595,0.5135135135135135,0.47297297297297297
cmc,TensorConFormerEnc,0.43243243243243246,0.5135135135135135,0.5337837837837838
cmc,TensorConFormerDec,0.4594594594594595,0.5135135135135135,0.47297297297297297
pc3,VAE,0.8662420382165605,0.8789808917197452,0.8980891719745223
pc3,TensorContracted,0.8598726114649682,0.8789808917197452,0.89171974522293
pc3,TensorConFormer,0.8343949044585988,0.8789808917197452,0.89171974522293
pc3,Transformed,0.89171974522293,0.8789808917197452,0.9235668789808917
pc3,TensorConFormerEnc,0.8726114649681529,0.8789808917197452,0.9044585987261147
pc3,TensorConFormerDec,0.8598726114649682,0.8789808917197452,0.9044585987261147
semeion,VAE,0.71875,0.9,0.7375
semeion,TensorContracted,0.575,0.9,0.55
semeion,TensorConFormer,0.53125,0.9,0.54375
semeion,Transformed,0.125,0.9,0.1125
semeion,TensorConFormerEnc,0.475,0.9,0.50625
semeion,TensorConFormerDec,0.53125,0.9,0.54375
car,VAE,0.6763005780346821,0.9884393063583815,0.6763005780346821
car,TensorContracted,0.8092485549132948,0.9884393063583815,0.815028901734104
car,TensorConFormer,0.7456647398843931,0.9884393063583815,0.7514450867052023
car,Transformed,0.6763005780346821,0.9884393063583815,0.6763005780346821
car,TensorConFormerEnc,0.791907514450867,0.9884393063583815,0.7976878612716763
car,TensorConFormerDec,0.7283236994219653,0.9884393063583815,0.7341040462427746
steel-plates-fault,VAE,0.6,0.8358974358974359,0.6102564102564103
steel-plates-fault,TensorContracted,0.6307692307692307,0.8358974358974359,0.6512820512820513
steel-plates-fault,TensorConFormer,0.6461538461538462,0.8358974358974359,0.6615384615384615
steel-plates-fault,Transformed,0.38974358974358975,0.8358974358974359,0.4
steel-plates-fault,TensorConFormerEnc,0.6153846153846154,0.8358974358974359,0.6358974358974359
steel-plates-fault,TensorConFormerDec,0.5846153846153846,0.8358974358974359,0.6051282051282051
mfeat-zernike,VAE,0.72,0.765,0.78
mfeat-zernike,TensorContracted,0.7,0.765,0.74
mfeat-zernike,TensorConFormer,0.635,0.765,0.735
mfeat-zernike,Transformed,0.52,0.765,0.48
mfeat-zernike,TensorConFormerEnc,0.625,0.765,0.655
mfeat-zernike,TensorConFormerDec,0.69,0.765,0.745
mfeat-morphological,VAE,0.425,0.66,0.48
mfeat-morphological,TensorContracted,0.56,0.66,0.615
mfeat-morphological,TensorConFormer,0.685,0.66,0.71
mfeat-morphological,Transformed,0.365,0.66,0.435
mfeat-morphological,TensorConFormerEnc,0.545,0.66,0.6
mfeat-morphological,TensorConFormerDec,0.595,0.66,0.655
mfeat-karhunen,VAE,0.885,0.965,0.905
