dataset_name,model,alpha_precision,beta_recall,authenticity
vehicle,TensorConFormerDec,0.7565531475748194,0.2983488132094944,0.6996904024767802
tic-tac-toe,VAE,0.9314710131273162,0.9583286225739588,0.0696721311475409
tic-tac-toe,TensorContracted,0.8896740154512908,0.9566672947679166,0.0573770491803278
tic-tac-toe,TensorConFormer,0.9446925444381634,0.9741159474907356,0.0491803278688524
tic-tac-toe,Transformed,0.7926637774009171,0.9185227058601848,0.1461748633879781
tic-tac-toe,TensorConFormerEnc,0.928591168896426,0.9417090635010364,0.081967213114754
tic-tac-toe,TensorConFormerDec,0.8765466993279316,0.9465831292004272,0.0928961748633879
vowel,VAE,0.5224130339057684,0.0187582562747689,0.9920739762219286
vowel,TensorContracted,0.6361955085865256,0.0129458388375166,0.9696169088507266
vowel,TensorConFormer,0.486481726111845,0.0209599295464553,0.9841479524438572
vowel,Transformed,0.5771025979744606,0.0077498899163364,0.9947159841479524
vowel,TensorConFormerEnc,0.5536767943637164,0.0162923822104799,0.9854689564068692
vowel,TensorConFormerDec,0.6582122413033904,0.0186701893439013,0.9920739762219286
credit-g,VAE,0.8178649237472767,0.4664052287581698,0.5450980392156862
credit-g,TensorContracted,0.8118518518518518,0.4455773420479302,0.5320261437908497
credit-g,TensorConFormer,0.977582450604763,0.4015686274509804,0.550326797385621
credit-g,Transformed,0.9448967019758094,0.3203485838779957,0.611764705882353
credit-g,TensorConFormerEnc,0.9811374051536323,0.3531154684095861,0.5699346405228758
credit-g,TensorConFormerDec,0.8014814814814815,0.4721568627450979,0.5111111111111111
qsar-biodeg,VAE,0.6642052422920053,0.0416873449131514,0.7853598014888338
qsar-biodeg,TensorContracted,0.7228487493226091,0.0533498759305213,0.7890818858560794
qsar-biodeg,TensorConFormer,0.3535980148883374,0.1273779983457402,0.7456575682382134
qsar-biodeg,Transformed,0.4674937965260546,0.0021505376344085,0.8399503722084367
qsar-biodeg,TensorConFormerEnc,0.622931462308548,0.0377998345740281,0.8176178660049628
qsar-biodeg,TensorConFormerDec,0.4797353184449958,0.1618693134822166,0.7245657568238213
MiceProtein,VAE,0.3602098466505246,0.0125100887812751,0.9309927360774818
MiceProtein,TensorContracted,0.5044390637610976,0.0201775625504438,0.8922518159806295
MiceProtein,TensorConFormer,0.4025827280064569,0.0263922518159805,0.900726392251816
MiceProtein,Transformed,0.0118644067796609,0.0030669895076674,0.9673123486682808
MiceProtein,TensorConFormerEnc,0.347538337368846,0.0141242937853107,0.9322033898305084
MiceProtein,TensorConFormerDec,0.4248587570621467,0.025585149313963,0.8849878934624698
pc1,VAE,0.9257726089785296,0.1772012578616352,0.7134433962264151
pc1,TensorContracted,0.9354234439384082,0.1653301886792453,0.7134433962264151
pc1,TensorConFormer,0.6305031446540881,0.3216981132075472,0.6285377358490566
pc1,Transformed,0.6157232704402515,0.0789308176100628,0.6957547169811321
pc1,TensorConFormerEnc,0.8825580134461071,0.1634433962264151,0.6768867924528302
pc1,TensorConFormerDec,0.7985849056603773,0.3492138364779875,0.6285377358490566
banknote-authentication,VAE,0.8235368956743002,0.2962468193384223,0.7824427480916031
banknote-authentication,TensorContracted,0.9127226463104324,0.2717557251908397,0.7729007633587787
banknote-authentication,TensorConFormer,0.903117048346056,0.2848600508905853,0.7347328244274809
banknote-authentication,Transformed,0.8382315521628498,0.2666666666666667,0.7977099236641222
banknote-authentication,TensorConFormerEnc,0.8524173027989822,0.2536259541984732,0.7986641221374046
banknote-authentication,TensorConFormerDec,0.8771628498727735,0.3082061068702291,0.7461832061068703
pc4,VAE,0.8754229163445184,0.1198804185351269,0.7542600896860987
pc4,TensorContracted,0.8947621256636256,0.1493572496263078,0.7094170403587444
pc4,TensorConFormer,0.5925859491778773,0.2675037369207774,0.6026905829596413
pc4,Transformed,0.8713076645533735,0.0747982062780269,0.7623318385650224
pc4,TensorConFormerEnc,0.9002999845368795,0.1467862481315396,0.7721973094170403
pc4,TensorConFormerDec,0.5696263079222721,0.2624813153961136,0.6591928251121076
cmc,VAE,0.839076376554174,0.4551805802249852,0.5710479573712256
cmc,TensorContracted,0.8966252220248667,0.4652457075192422,0.5470692717584369
cmc,TensorConFormer,0.925908005144852,0.4789816459443458,0.5337477797513321
cmc,Transformed,0.9234458259325043,0.4027235050325637,0.5603907637655418
cmc,TensorConFormerEnc,0.8190645352279455,0.4680284191829484,0.5
cmc,TensorConFormerDec,0.8931320307874482,0.4811130846654825,0.4982238010657193
pc3,VAE,0.89996825854855,0.1215062761506277,0.7439330543933055
pc3,TensorContracted,0.8869638820756985,0.156039051603905,0.7096234309623431
pc3,TensorConFormer,0.7275871687587169,0.2490934449093446,0.6443514644351465
pc3,Transformed,0.7890155340739672,0.0915481171548115,0.7405857740585774
pc3,TensorConFormerEnc,0.869990862309431,0.140641562064156,0.7288702928870293
pc3,TensorConFormerDec,0.8172384937238494,0.3164295676429567,0.6108786610878661
semeion,VAE,0.1954570333880678,0.0014778325123152,0.9655172413793104
semeion,TensorContracted,0.2644772851669402,0.0145046524356868,0.9507389162561576
semeion,TensorConFormer,0.6538040503557745,0.0148330596606458,0.931855500821018
semeion,Transformed,0.1597153804050355,0.0,1.0
semeion,TensorConFormerEnc,0.295183360700602,0.0218390804597702,0.9384236453201972
semeion,TensorConFormerDec,0.6440613026819922,0.0103995621236999,0.9039408866995072
car,VAE,0.9738181628337989,0.8814586650656504,0.1582134746404239
car,TensorContracted,0.9793051241222688,0.8495079485238456,0.1801665404996215
car,TensorConFormer,0.960237368068426,0.8881655311632601,0.1506434519303558
car,Transformed,0.8871561948019178,0.8208984833851053,0.2361847085541256
car,TensorConFormerEnc,0.98908350518155,0.8797880393641181,0.161998485995458
car,TensorConFormerDec,0.982855203738025,0.856775170325511,0.1665404996214988
steel-plates-fault,VAE,0.7852201257861635,0.1130727762803235,0.8402964959568733
steel-plates-fault,TensorContracted,0.8580707624624346,0.1093890386343215,0.7816711590296496
steel-plates-fault,TensorConFormer,0.8084456424079065,0.1970799640610961,0.7129380053908356
steel-plates-fault,Transformed,0.727403414195867,0.0747079964061095,0.9036388140161724
steel-plates-fault,TensorConFormerEnc,0.8340970350404313,0.1057951482479785,0.7513477088948787
steel-plates-fault,TensorConFormerDec,0.7960467205750225,0.1959568733153638,0.7297843665768194
mfeat-zernike,VAE,0.6346405228758171,0.1931154684095859,0.7483660130718954
mfeat-zernike,TensorContracted,0.7407843137254901,0.2625708061002179,0.6797385620915033
mfeat-zernike,TensorConFormer,0.7133333333333334,0.2564270152505445,0.703921568627451
mfeat-zernike,Transformed,0.0655337690631808,0.1444444444444445,0.8666666666666667
mfeat-zernike,TensorConFormerEnc,0.6848366013071896,0.20718954248366,0.6993464052287581
mfeat-zernike,TensorConFormerDec,0.6745098039215687,0.2893681917211329,0.6738562091503268
mfeat-morphological,VAE,0.8450078882127563,0.1671895424836601,0.8313725490196079
mfeat-morphological,TensorContracted,0.8372308616933364,0.2260566448801743,0.7137254901960784
mfeat-morphological,TensorConFormer,0.9432529486890542,0.3798692810457516,0.5993464052287582
mfeat-morphological,Transformed,0.8889940650589738,0.2125925925925925,0.74640522875817
mfeat-morphological,TensorConFormerEnc,0.8580151754188265,0.2577342047930282,0.6895424836601307
mfeat-morphological,TensorConFormerDec,0.9641484486514912,0.3887145969498911,0.5535947712418301
mfeat-karhunen,VAE,0.1206100217864923,0.2686710239651416,0.6300653594771242
mfeat-karhunen,TensorContracted,0.0967755991285402,0.3638344226579521,0.6183006535947713
mfeat-karhunen,TensorConFormer,0.0602614379084968,0.3800435729847495,0.6183006535947713
mfeat-karhunen,Transformed,0.0,0.1029629629629629,0.8274509803921568
mfeat-karhunen,TensorConFormerEnc,0.0497603485838777,0.3395642701525055,0.6261437908496732
mfeat-karhunen,TensorConFormerDec,0.0776470588235294,0.4643572984749454,0.5601307189542484
mfeat-fourier,VAE,0.1988671023965141,0.2642265795206971,0.6758169934640523
mfeat-fourier,TensorContracted,0.2125490196078431,0.3185620915032682,0.6071895424836601
mfeat-fourier,TensorConFormer,0.2124183006535946,0.3535511982570807,0.6104575163398693
mfeat-fourier,Transformed,0.0129847494553376,0.1343355119825707,0.7444444444444445
mfeat-fourier,TensorConFormerEnc,0.2323747276688451,0.3424400871459696,0.5980392156862745
mfeat-fourier,TensorConFormerDec,0.2142919389978212,0.3683660130718954,0.5686274509803921
mfeat-factors,VAE,0.3982570806100217,0.197516339869281,0.711764705882353
mfeat-factors,TensorContracted,0.6081045751633988,0.2256209150326797,0.7104575163398693
mfeat-factors,TensorConFormer,0.4705010893246187,0.2658823529411764,0.6509803921568628
mfeat-factors,Transformed,0.0,0.0095860566448801,0.9882352941176472
mfeat-factors,TensorConFormerEnc,0.5081917211328977,0.1916775599128539,0.7398692810457517
mfeat-factors,TensorConFormerDec,0.5514161220043573,0.346884531590414,0.6385620915032679
mfeat-pixel,VAE,0.7939283299526707,0.0023529411764705,0.9555555555555556
mfeat-pixel,TensorContracted,0.8201607692885583,0.0057516339869281,0.973202614379085
mfeat-pixel,TensorConFormer,0.6194335511982572,0.0025708061002178,0.9751633986928104
mfeat-pixel,Transformed,0.1589106753812637,0.0,1.0
mfeat-pixel,TensorConFormerEnc,0.7932311621966794,0.0030501089324618,0.9562091503267974
mfeat-pixel,TensorConFormerDec,0.6128540305010894,0.0011764705882353,0.976470588235294
kc1,VAE,0.7903314306888712,0.138871667699938,0.6453812771233726
kc1,TensorContracted,0.8148819576572532,0.147509816077702,0.6869187848729076
kc1,TensorConFormer,0.6858855135358545,0.2841082868361231,0.6689398636081835
kc1,Transformed,0.6784274322850974,0.1257284562926224,0.7061376317420954
kc1,TensorConFormerEnc,0.7725035808196336,0.21264724116553,0.6534407935523868
kc1,TensorConFormerDec,0.7295009655742495,0.3074602190535234,0.6466212027278363
segment,VAE,0.8133611745344079,0.0471609130352762,0.8460667798528579
segment,TensorContracted,0.957989709163528,0.078173929447274,0.822863610639502
segment,TensorConFormer,0.9562554885545342,0.1512167515563103,0.7311827956989247
segment,Transformed,0.6286361063950198,0.0724768911526126,0.8081494057724957
segment,TensorConFormerEnc,0.9711557350922728,0.0798339935861157,0.8092812676853424
segment,TensorConFormerDec,0.9557324902913568,0.1628749292586302,0.7328805885681947
ozone-level-8hr,VAE,0.747953216374269,0.5065359477124183,0.5
ozone-level-8hr,TensorContracted,0.6924664602683177,0.6031303749570003,0.4917440660474716
ozone-level-8hr,TensorConFormer,0.676298589611283,0.5849329205366357,0.4907120743034056
ozone-level-8hr,Transformed,0.2644306845545235,0.2519779841761267,0.6790505675954592
ozone-level-8hr,TensorConFormerEnc,0.6952872377020984,0.5554179566563466,0.4891640866873065
ozone-level-8hr,TensorConFormerDec,0.7157550739594083,0.6328861369109047,0.479876160990712
dna,VAE,0.4836343732895457,0.610536398467433,0.4601806239737274
dna,TensorContracted,0.0332238642583468,0.8641488779419815,0.2729885057471264
dna,TensorConFormer,0.0105363984674329,0.863656267104543,0.2799671592775041
dna,Transformed,0.3213464696223317,0.5119047619047619,0.5197044334975369
dna,TensorConFormerEnc,0.0295292829775587,0.8714012041598249,0.2840722495894909
dna,TensorConFormerDec,0.0135741652983032,0.8757799671592775,0.3000821018062397
splice,VAE,0.9846740154512909,0.4024316939890709,0.5299180327868852
splice,TensorContracted,0.9794535519125684,0.4402459016393443,0.5069672131147541
splice,TensorConFormer,0.9853966459393254,0.4702185792349727,0.4918032786885246
splice,Transformed,0.8043932541925758,0.2716666666666668,0.6635245901639344
splice,TensorConFormerEnc,0.99271905031091,0.4752459016393442,0.4754098360655737
splice,TensorConFormerDec,0.9870774448841152,0.4590163934426229,0.4967213114754098
kr-vs-kp,VAE,0.744708128750682,0.5548827059465358,0.5130932896890343
kr-vs-kp,TensorContracted,0.7942989634478996,0.642089470812875,0.4607201309328969
kr-vs-kp,TensorConFormer,0.8328150572831424,0.6214129841789415,0.4504909983633388
kr-vs-kp,Transformed,0.675368248772504,0.4293235133660666,0.6481178396072013
kr-vs-kp,TensorConFormerEnc,0.8171576650300054,0.609138025095472,0.4615384615384615
kr-vs-kp,TensorConFormerDec,0.8159028914348063,0.6550190943807965,0.4382160392798691
sick,VAE,0.696879334257975,0.4476652797041146,0.5540915395284327
sick,TensorContracted,0.8035829865926953,0.4498381877022654,0.565880721220527
sick,TensorConFormer,0.8113268608414239,0.4921174294960703,0.555131761442441
sick,Transformed,0.7332177531206657,0.4287101248266296,0.616504854368932
sick,TensorConFormerEnc,0.90959315765141,0.458876560332871,0.5648404993065187
sick,TensorConFormerDec,0.8082755432269995,0.4778548312528894,0.5353675450762829
spambase,VAE,0.657048599883065,0.2005493985033627,0.7337311736288719
spambase,TensorContracted,0.6343560246020781,0.1986549209055603,0.717249218527991
spambase,TensorConFormer,0.4309747087240693,0.2956900634649995,0.6936629724353509
spambase,Transformed,0.6910342214513658,0.1505730794733353,0.7396987780619494
spambase,TensorConFormerEnc,0.522638027391533,0.2131097849767927,0.7092924126172208
spambase,TensorConFormerDec,0.4479871175523348,0.3134034290044521,0.7192384200056834
wilt,VAE,0.8979555075204899,0.4584886967486264,0.5420156714401513
wilt,TensorContracted,0.9405746194722148,0.4881023146897234,0.5201296946771143
wilt,TensorConFormer,0.9280554805007656,0.4775466090245879,0.5312077816806269
wilt,Transformed,0.929910834909484,0.4457353868323875,0.5603890840313429
wilt,TensorConFormerEnc,0.8980815995676844,0.4669909033594525,0.5282356119967576
wilt,TensorConFormerDec,0.909069620823201,0.4730613347743853,0.5468792218319373
churn,VAE,0.9071721132897604,0.4776644880174292,0.5456209150326797
churn,TensorContracted,0.958239651416122,0.4787102396514162,0.552156862745098
churn,TensorConFormer,0.9661290661858614,0.5004967320261438,0.4967320261437908
churn,Transformed,0.9002539253249192,0.4228496732026144,0.5631372549019608
churn,TensorConFormerEnc,0.9539106002554278,0.4910501089324619,0.5566013071895425
churn,TensorConFormerDec,0.9675456389452332,0.4984400871459695,0.5016993464052287
phoneme,VAE,0.7002822808290992,0.1705137511089604,0.834018872489717
phoneme,TensorContracted,0.8266311799338656,0.1566094039841924,0.8303895475441568
phoneme,TensorConFormer,0.8111944511654166,0.1804984272925236,0.8262763126058553
phoneme,Transformed,0.8398257924026131,0.142398580530688,0.8424872973626906
phoneme,TensorConFormerEnc,0.8255504476167432,0.1576740059682231,0.8146624727800629
phoneme,TensorConFormerDec,0.8142269537865957,0.1810629889507218,0.7776433583353496
wall-robot-navigation,VAE,0.8030034347791357,0.0364086588385653,0.909657320872274
wall-robot-navigation,TensorContracted,0.9519709352129592,0.0468567776978992,0.877306494128924
wall-robot-navigation,TensorConFormer,0.668136432622414,0.0696061985781612,0.8581356338365684
wall-robot-navigation,Transformed,0.5248821790877864,0.0331975397395958,0.9307452671938652
wall-robot-navigation,TensorConFormerEnc,0.9684363904795744,0.0434379742790959,0.8485502036903906
wall-robot-navigation,TensorConFormerDec,0.7355699337007748,0.079942487419123,0.8413611310807573
texture,VAE,0.9127961334284128,0.2066080342286665,0.7142857142857143
