dataset_name,model,marginal,pairs-correlation,data-validity,data-struct
mfeat-zernike,TensorConFormer,0.9435544430538172,0.9744669328185116,1.0,1.0
mfeat-zernike,Transformed,0.8127937699902654,0.930022790563724,1.0,1.0
mfeat-zernike,TensorConFormerEnc,0.9439994437491308,0.9728759736861536,1.0,1.0
mfeat-zernike,TensorConFormerDec,0.9396050618829092,0.9720409847631408,1.0,1.0
mfeat-morphological,VAE,0.8045751633986927,0.8765944909907024,1.0,1.0
mfeat-morphological,TensorContracted,0.9061002178649238,0.967542460652462,1.0,1.0
mfeat-morphological,TensorConFormer,0.9497821350762528,0.9833203095578144,1.0,1.0
mfeat-morphological,Transformed,0.8702614379084966,0.9170895664866756,1.0,1.0
mfeat-morphological,TensorConFormerEnc,0.9172113289760347,0.9666170427764774,1.0,1.0
mfeat-morphological,TensorConFormerDec,0.9708061002178652,0.9930897742681244,1.0,1.0
mfeat-karhunen,VAE,0.9165747549019608,0.980910110662089,1.0,1.0
mfeat-karhunen,TensorContracted,0.9076899509803922,0.9734532661728424,1.0,1.0
mfeat-karhunen,TensorConFormer,0.9043811274509804,0.9731437491957906,1.0,1.0
mfeat-karhunen,Transformed,0.826970996732026,0.9689192621293676,1.0,1.0
mfeat-karhunen,TensorConFormerEnc,0.898529411764706,0.9727250936601648,1.0,1.0
mfeat-karhunen,TensorConFormerDec,0.906464460784314,0.973199829357628,1.0,1.0
mfeat-fourier,VAE,0.9009287925696594,0.9727237263467752,1.0,1.0
mfeat-fourier,TensorContracted,0.8917268661850708,0.9618394538643562,1.0,1.0
mfeat-fourier,TensorConFormer,0.8943842449260411,0.9639201124305032,1.0,1.0
mfeat-fourier,Transformed,0.827313381492948,0.94557896680157,1.0,1.0
mfeat-fourier,TensorConFormerEnc,0.896026831785346,0.966411007438709,1.0,1.0
mfeat-fourier,TensorConFormerDec,0.8903078775369799,0.958927385489072,1.0,1.0
mfeat-factors,VAE,0.912533284918906,0.977000219569071,1.0,1.0
mfeat-factors,TensorContracted,0.9276748971193416,0.9691923082363172,1.0,1.0
mfeat-factors,TensorConFormer,0.9141370128298234,0.9584134854962072,1.0,1.0
mfeat-factors,Transformed,0.7578128782377149,0.9204605754792065,1.0,1.0
mfeat-factors,TensorConFormerEnc,0.9141249092229486,0.9585102873419596,1.0,1.0
mfeat-factors,TensorConFormerDec,0.9252783829581216,0.9672311787501152,1.0,1.0
mfeat-pixel,VAE,0.861236383442266,0.9500238503752744,1.0,1.0
mfeat-pixel,TensorContracted,0.8590822440087148,0.9486294872285816,1.0,1.0
mfeat-pixel,TensorConFormer,0.8800000000000002,0.9497657818041908,1.0,1.0
mfeat-pixel,Transformed,0.8650708061002181,0.9131092548885944,1.0,1.0
mfeat-pixel,TensorConFormerEnc,0.8540196078431374,0.9473167399686816,1.0,1.0
mfeat-pixel,TensorConFormerDec,0.8853730936819174,0.954302076097248,1.0,1.0
kc1,VAE,0.8107932571664749,0.8354992034444249,1.0,1.0
kc1,TensorContracted,0.82393056416615,0.862255405972496,1.0,1.0
kc1,TensorConFormer,0.847607238803767,0.95792344740448,1.0,1.0
kc1,Transformed,0.7553803914622266,0.7925820856889266,1.0,1.0
kc1,TensorConFormerEnc,0.7764296046999086,0.8762688758693047,1.0,1.0
kc1,TensorConFormerDec,0.8706344286009507,0.9565011153645144,1.0,1.0
segment,VAE,0.9374646293152236,0.9609856259209812,1.0,1.0
segment,TensorContracted,0.9429470854555744,0.9774363430575984,1.0,1.0
segment,TensorConFormer,0.9505164119977364,0.9771224380461764,1.0,1.0
segment,Transformed,0.8737266553480475,0.957428118015524,1.0,1.0
segment,TensorConFormerEnc,0.947545274476514,0.9788172269256816,1.0,1.0
segment,TensorConFormerDec,0.9471915676287492,0.9739153104550108,1.0,1.0
ozone-level-8hr,VAE,0.9367618392386192,0.9858944599393488,1.0,1.0
ozone-level-8hr,TensorContracted,0.9273735810113516,0.976466244906623,1.0,1.0
ozone-level-8hr,TensorConFormer,0.9243779383098268,0.9790568541023674,1.0,1.0
ozone-level-8hr,Transformed,0.8375831326682719,0.9033387842128812,1.0,1.0
ozone-level-8hr,TensorConFormerEnc,0.9245929365898408,0.9811224410339988,1.0,1.0
ozone-level-8hr,TensorConFormerDec,0.9287209035661048,0.9768569520808348,1.0,1.0
dna,VAE,0.969414796569969,0.9517853702837328,1.0,1.0
dna,TensorContracted,0.8463624338624337,0.7442092490156447,1.0,1.0
dna,TensorConFormer,0.803892993979201,0.6652308023960884,1.0,1.0
dna,Transformed,0.9552887246852764,0.9296751398176942,1.0,1.0
dna,TensorConFormerEnc,0.8406563583287724,0.7336429605982678,1.0,1.0
dna,TensorConFormerDec,0.8165845648604267,0.689726011340344,1.0,1.0
splice,VAE,0.9762090163934426,0.951998008706122,1.0,1.0
splice,TensorContracted,0.9697745901639344,0.9447744743910343,1.0,1.0
splice,TensorConFormer,0.947363387978142,0.918563489858294,1.0,1.0
splice,Transformed,0.937363387978142,0.9075085671945912,1.0,1.0
splice,TensorConFormerEnc,0.945792349726776,0.9170125960915068,1.0,1.0
splice,TensorConFormerDec,0.9651502732240436,0.9409620727979994,1.0,1.0
kr-vs-kp,VAE,0.9748136024731768,0.953078481801886,1.0,1.0
kr-vs-kp,TensorContracted,0.9768366975813784,0.959081521315564,1.0,1.0
kr-vs-kp,TensorConFormer,0.982542280414621,0.9678103811082536,1.0,1.0
kr-vs-kp,Transformed,0.9646981269321696,0.93590652845972,1.0,1.0
kr-vs-kp,TensorConFormerEnc,0.9791439352609568,0.962758813290728,1.0,1.0
kr-vs-kp,TensorConFormerDec,0.9783824331696672,0.9619151534045152,1.0,1.0
sick,VAE,0.948014588791288,0.7894168898843053,1.0,1.0
sick,TensorContracted,0.961537473673396,0.9146240608074556,1.0,1.0
sick,TensorConFormer,0.9619227410489546,0.9209862393216264,1.0,1.0
sick,Transformed,0.9516361021215388,0.933378717451016,1.0,1.0
sick,TensorConFormerEnc,0.9674834335028508,0.9455743383622136,1.0,1.0
sick,TensorConFormerDec,0.9621667437201418,0.9330678648988407,1.0,1.0
spambase,VAE,0.857689834133501,0.9697480428344464,1.0,1.0
spambase,TensorContracted,0.8593848930367978,0.9725247462664112,1.0,1.0
spambase,TensorConFormer,0.93402232492285,0.978078525066308,1.0,1.0
spambase,Transformed,0.8713799275113044,0.9692533486554288,1.0,1.0
spambase,TensorConFormerEnc,0.8582631628802042,0.9719822623181532,1.0,1.0
spambase,TensorConFormerDec,0.9357323402282348,0.9784916184105568,1.0,1.0
wilt,VAE,0.9674682518238312,0.9613240997634872,1.0,1.0
wilt,TensorContracted,0.971953526074034,0.9702009766998572,1.0,1.0
wilt,TensorConFormer,0.9703323426101054,0.9696320664736832,1.0,1.0
wilt,Transformed,0.9687111591461768,0.9484055435949252,1.0,1.0
wilt,TensorConFormerEnc,0.9669818967846529,0.9527769907282144,1.0,1.0
wilt,TensorConFormerDec,0.9555795730883544,0.9559805341855496,1.0,1.0
churn,VAE,0.9614901960784314,0.9656922328554092,1.0,1.0
churn,TensorContracted,0.9529803921568628,0.9587464999056508,1.0,1.0
churn,TensorConFormer,0.9610065359477123,0.9484568848442926,1.0,1.0
churn,Transformed,0.9431764705882352,0.9472353101924802,1.0,1.0
churn,TensorConFormerEnc,0.9553856209150328,0.9573368286069864,1.0,1.0
churn,TensorConFormerDec,0.9595555555555556,0.958477937510106,1.0,1.0
phoneme,VAE,0.9386402129203968,0.955398316293386,1.0,1.0
phoneme,TensorContracted,0.960222598596661,0.9745355472225882,1.0,1.0
phoneme,TensorConFormer,0.9531091217033631,0.9747251150503338,1.0,1.0
phoneme,Transformed,0.9678199854827004,0.9482962786939264,1.0,1.0
phoneme,TensorConFormerEnc,0.961287200580692,0.969396613924118,1.0,1.0
phoneme,TensorConFormerDec,0.9511734817323978,0.9781272669026652,1.0,1.0
wall-robot-navigation,VAE,0.903376867161914,0.9665822407908868,1.0,1.0
wall-robot-navigation,TensorContracted,0.905214074606598,0.9707364311746538,1.0,1.0
wall-robot-navigation,TensorConFormer,0.9167365604281492,0.9681967734125584,1.0,1.0
wall-robot-navigation,Transformed,0.8948897675533191,0.9289626645019106,1.0,1.0
wall-robot-navigation,TensorConFormerEnc,0.9028676411853982,0.9701238021881464,1.0,1.0
wall-robot-navigation,TensorConFormerDec,0.9256430226056396,0.9751028183710576,1.0,1.0
texture,VAE,0.9580164012360352,0.9797140301796908,1.0,1.0
texture,TensorContracted,0.9687901117185642,0.9922898660665928,1.0,1.0
texture,TensorConFormer,0.9720941288328976,0.9906575182716468,1.0,1.0
texture,Transformed,0.8416270501545045,0.9003478713855225,1.0,1.0
texture,TensorConFormerEnc,0.9659614927501784,0.9899567155112964,1.0,1.0
texture,TensorConFormerDec,0.9727240313762776,0.9906790344291364,1.0,1.0
optdigits,VAE,0.8159737073137789,0.9509477282830104,1.0,1.0
optdigits,TensorContracted,0.8144317133016681,0.9536582025686676,1.0,1.0
optdigits,TensorConFormer,0.9370933975643247,0.9654487239764324,1.0,1.0
optdigits,Transformed,0.8288236574147027,0.923928347148674,1.0,1.0
optdigits,TensorConFormerEnc,0.8107661946889374,0.9487312670331928,1.0,1.0
optdigits,TensorConFormerDec,0.938140152623641,0.9693485435577068,1.0,1.0
first-order-theorem-proving,VAE,0.856653259594436,0.945050468903524,1.0,1.0
first-order-theorem-proving,TensorContracted,0.8501298810122337,0.9504710320782254,1.0,1.0
first-order-theorem-proving,TensorConFormer,0.8881347410759176,0.9611192407372884,1.0,1.0
first-order-theorem-proving,Transformed,0.8374811463046758,0.9071611906233163,1.0,1.0
first-order-theorem-proving,TensorConFormerEnc,0.8425842131724482,0.95310769724268,1.0,1.0
first-order-theorem-proving,TensorConFormerDec,0.8912225573990279,0.9619341957107757,1.0,1.0
satimage,VAE,0.9608806651303602,0.9819267048189088,1.0,1.0
satimage,TensorContracted,0.961168722606299,0.9834333457421328,1.0,1.0
satimage,TensorConFormer,0.9592200985043606,0.9853530571509174,1.0,1.0
satimage,Transformed,0.8457649902851204,0.9072026821932436,1.0,1.0
satimage,TensorConFormerEnc,0.9554584067597488,0.9852432631436412,1.0,1.0
satimage,TensorConFormerDec,0.9601407527902038,0.9806444216524224,1.0,1.0
GesturePhaseSegmentationProcessed,VAE,0.932517876059322,0.9787465627635048,1.0,1.0
GesturePhaseSegmentationProcessed,TensorContracted,0.9251812433792372,0.978391506463556,1.0,1.0
GesturePhaseSegmentationProcessed,TensorConFormer,0.944095934851695,0.9782152977592729,1.0,1.0
GesturePhaseSegmentationProcessed,Transformed,0.8917422537076272,0.9693661457424004,1.0,1.0
GesturePhaseSegmentationProcessed,TensorConFormerEnc,0.9236129502118644,0.9778391317869596,1.0,1.0
GesturePhaseSegmentationProcessed,TensorConFormerDec,0.950340141684322,0.9790792069740591,1.0,1.0
jm1,VAE,0.8206478844240073,0.8702850496825771,1.0,1.0
jm1,TensorContracted,0.8391498804662388,0.8772387357922199,1.0,1.0
jm1,TensorConFormer,0.9057055923498392,0.9272628047337786,1.0,1.0
jm1,Transformed,0.8470711368861741,0.8493645001338382,1.0,1.0
jm1,TensorConFormerEnc,0.8546377955457943,0.8582637691316071,1.0,1.0
jm1,TensorConFormerDec,0.933918991569724,0.9295130201004358,1.0,1.0
pendigits,VAE,0.8170343720266413,0.9244608065518776,1.0,1.0
pendigits,TensorContracted,0.8339081826831589,0.9362973625213644,1.0,1.0
pendigits,TensorConFormer,0.9462416745956232,0.9493834198751064,1.0,1.0
pendigits,Transformed,0.810388915318744,0.9080752123840836,1.0,1.0
pendigits,TensorConFormerEnc,0.837944517126546,0.9344935869928944,1.0,1.0
pendigits,TensorConFormerDec,0.9462268078020932,0.9511678370245557,1.0,1.0
PhishingWebsites,VAE,0.9831559444970044,0.9688494328994444,1.0,1.0
PhishingWebsites,TensorContracted,0.9776135288552508,0.9641030241738164,1.0,1.0
PhishingWebsites,TensorConFormer,0.9805897193314412,0.9675184049413325,1.0,1.0
PhishingWebsites,Transformed,0.9449345632292656,0.9112471318739872,1.0,1.0
PhishingWebsites,TensorConFormerEnc,0.9749211605171872,0.960416870561881,1.0,1.0
PhishingWebsites,TensorConFormerDec,0.975654367707348,0.9612667058145478,1.0,1.0
letter,VAE,0.9538194444444444,0.9857306892766368,1.0,1.0
letter,TensorContracted,0.956625816993464,0.98070104104385,1.0,1.0
letter,TensorConFormer,0.9561478758169936,0.9818462279934456,1.0,1.0
letter,Transformed,0.9145751633986928,0.9471852616770527,1.0,1.0
letter,TensorConFormerEnc,0.9476388888888888,0.98116877405671,1.0,1.0
letter,TensorConFormerDec,0.9564624183006536,0.9808214976689684,1.0,1.0
nomao,VAE,0.88455418875178,0.8854581171023268,1.0,1.0
nomao,TensorContracted,0.8847386911898479,0.8969608247851191,1.0,1.0
nomao,TensorConFormer,0.9463853272346812,0.9248102523486594,1.0,1.0
nomao,Transformed,0.8015386989042353,0.7821414092700175,1.0,1.0
nomao,TensorConFormerEnc,0.881654864724998,0.8485392617610235,1.0,1.0
nomao,TensorConFormerDec,0.9487420726631032,0.9333686258795592,1.0,1.0
jungle_chess_2pcs_raw_endgame_complete,VAE,0.808405763285306,0.9943099557301902,1.0,1.0
jungle_chess_2pcs_raw_endgame_complete,TensorContracted,0.800297497520854,0.9904112415939582,1.0,1.0
jungle_chess_2pcs_raw_endgame_complete,TensorConFormer,0.968796787804546,0.9894936489743386,1.0,1.0
jungle_chess_2pcs_raw_endgame_complete,Transformed,0.9374137159968112,0.9974450034642608,1.0,1.0
jungle_chess_2pcs_raw_endgame_complete,TensorConFormerEnc,0.806893970328025,0.991464813020681,1.0,1.0
jungle_chess_2pcs_raw_endgame_complete,TensorConFormerDec,0.9677662408368818,0.9930604009826648,1.0,1.0
bank-marketing,VAE,0.9424334971808588,0.9416036040807924,1.0,1.0
bank-marketing,TensorContracted,0.9195894173774758,0.9106912316882408,1.0,1.0
bank-marketing,TensorConFormer,0.9506957496024288,0.9222566016654288,1.0,1.0
bank-marketing,Transformed,0.9236934364608936,0.8856021781846308,1.0,1.0
bank-marketing,TensorConFormerEnc,0.9133963423449472,0.8984743514703081,1.0,1.0
bank-marketing,TensorConFormerDec,0.9530739482434584,0.9248366152412468,1.0,1.0
electricity,VAE,0.941050255315466,0.9495461438938144,1.0,1.0
